Source,Destination,lat1,lon1,lat2,lon2
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Azerbaijan,Russia,40.143105,47.576927,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Azerbaijan,61.52401,105.318756,40.143105,47.576927
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Russia,Russia,61.52401,105.318756,61.52401,105.318756
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Peru,Peru,-9.189967,-75.015152,-9.189967,-75.015152
Cote d'Ivoire,Burkina Faso,7.539989,-5.54708,12.238333,-1.561593
Cote d'Ivoire,Burkina Faso,7.539989,-5.54708,12.238333,-1.561593
